N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.307416,-0.576841,-0.059676,0.094505,0.332745,0.003561
10,-0.149013,-0.243734,-0.071410,0.022205,0.059406,0.005099
10,0.061696,0.215715,-0.027542,0.003806,0.046533,0.000759
10,-0.330606,0.986922,0.125413,0.109301,0.974015,0.015728
10,-0.527806,1.977507,0.355929,0.278579,3.910533,0.126685
10,-0.084189,-0.348863,0.008983,0.007088,0.121705,0.000081
10,-0.429656,7.709432,0.056368,0.184604,59.435348,0.003177
10,1.750967,-0.766036,-2.058628,3.065884,0.586812,4.237948
10,-0.376054,0.048394,0.260344,0.141417,0.002342,0.067779
10,-0.141650,0.881085,0.376772,0.020065,0.776311,0.141957
10,0.287559,0.532732,-0.159431,0.082690,0.283803,0.025418
10,1.904753,-0.433388,-1.897890,3.628085,0.187826,3.601987
10,-0.843966,-0.636860,0.232924,0.712279,0.405591,0.054254
10,2.893069,-1.191192,-4.097897,8.369848,1.418938,16.792759
10,-0.482334,1.271002,0.321267,0.232646,1.615447,0.103212
10,1.376830,-0.530125,-1.770808,1.895661,0.281032,3.135761
10,2.586893,-0.675132,-3.503140,6.692013,0.455803,12.271991
10,0.625881,-0.361724,-0.490739,0.391727,0.130844,0.240825
10,0.187323,0.042823,-0.311394,0.035090,0.001834,0.096966
10,0.178134,0.004942,-0.154820,0.031732,0.000024,0.023969
10,-0.709319,2.142236,0.200426,0.503133,4.589175,0.040171
10,-0.839519,5.568227,0.291609,0.704793,31.005155,0.085036
10,4.059405,-0.603185,-6.718613,16.478767,0.363832,45.139756
10,-0.527498,0.971150,0.180442,0.278254,0.943133,0.032559
10,0.035214,0.089260,-0.102157,0.001240,0.007967,0.010436
10,-0.399648,3.187837,0.168464,0.159718,10.162303,0.028380
10,0.394588,0.030514,0.020310,0.155700,0.000931,0.000412
10,3.391123,-1.235987,-5.787882,11.499715,1.527664,33.499574
10,0.922224,-0.600488,-0.635542,0.850498,0.360586,0.403913
10,0.578824,-0.915559,-0.978962,0.335038,0.838248,0.958367
10,-0.405662,4.382326,0.097905,0.164562,19.204781,0.009585
